OID_,type,subtype,curb_id,dist_s_m,dist_e_m
0,Bulbout, ,cGhpbGFkZWxwaGlhOjMzOTk,10.3599997,72.5400009
1,Curb Cut, ,cGhpbGFkZWxwaGlhOjMzOTk,35.1199989,39.6399994
2,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM0MDE,0.0400000,19.9599991
3,Empty Curb, ,cGhpbGFkZWxwaGlhOjM0MDI,0.0000000,27.3980999
4,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjM0MDM,0.0000000,30.6693001
5,Curb Cut, ,cGhpbGFkZWxwaGlhOjM0MDQ,6.8099999,12.5500002
6,Bulbout, ,cGhpbGFkZWxwaGlhOjM0MzI,0.0700000,12.5000000
7,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjM0MzM,0.0000000,48.4916992
8,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM4Nzg,27.5799999,51.8199997
9,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1MzY,34.2700005,38.3699989
10,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODE,113.3600006,121.1200027
11,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODE,148.4100037,157.2200012
12,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODI,7.9000001,16.0699997
13,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODI,65.1800003,70.0500031
14,Bulbout, ,cGhpbGFkZWxwaGlhOjQ1ODI,85.1900024,96.4599991
15,Bulbout, ,cGhpbGFkZWxwaGlhOjQ1ODI,110.3000031,116.8700027
16,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODM,55.7099991,66.6399994
17,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODM,34.0200005,46.0999985
18,Bulbout, ,cGhpbGFkZWxwaGlhOjQ1ODU,10.0200005,12.6499996
19,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODU,12.6499996,22.2700005
20,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ1ODU,22.2700005,45.1199989
21,Bulbout, ,cGhpbGFkZWxwaGlhOjQ1ODU,45.1199989,46.6100006
22,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODU,46.6100006,159.3000031
23,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODY,1.0900000,74.2799988
24,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODc,8.2600002,92.5000000
25,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODk,6.0799999,78.3499985
26,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODk,78.3499985,88.5299988
27,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODk,88.5299988,137.3300018
28,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1ODk,137.3300018,147.5599976
29,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ1ODk,147.5599976,170.4600067
30,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1OTA,1.1000000,4.0799999
31,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ1OTA,10.8599997,108.1699982
32,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1OTA,108.1699982,111.5199966
33,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ1OTA,111.5199966,158.8600006
34,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ1OTA,241.7500000,251.0500031
35,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjQ1OTE,0.0000000,129.4420013
36,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ1OTI,1.9200000,147.8000031
37,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjQ1OTg,21.6900005,33.8400002
38,Bike Rack, ,cGhpbGFkZWxwaGlhOjQ2MDA,0.1600000,8.6599998
39,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MDE,72.3899994,86.1500015
40,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDI,2.3800001,10.1300001
41,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDI,10.3900003,20.0000000
42,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDI,114.7600021,119.0400009
43,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDI,119.0500031,124.8499985
44,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDM,11.7200003,19.4400005
45,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDM,19.4400005,25.5100002
46,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDM,75.4499969,78.7099991
47,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDM,80.4800034,86.7600021
48,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDM,86.7600021,90.5400009
49,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDM,90.5400009,92.6900024
50,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDM,116.9199982,121.4499969
51,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDM,121.6800003,129.1799927
52,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDQ,5.6500001,9.8100004
53,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDQ,9.8100004,17.2099991
54,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDQ,113.9899979,115.4400024
55,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjQ2MDQ,115.4400024,122.2699966
56,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDc,1.0000000,11.7700005
57,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDc,70.3600006,80.7500000
58,Smart Zone, ,cGhpbGFkZWxwaGlhOjQ2MDc,43.6899986,70.4000015
59,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDg,1.6400000,14.8000002
60,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDg,70.3600006,79.9800034
61,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDk,0.0000000,24.2199993
62,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MDk,112.0100021,125.9000015
63,Smart Zone, ,cGhpbGFkZWxwaGlhOjQ2MDk,85.1600037,112.0100021
64,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjQ2MTA,0.0000000,131.1499939
65,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTE,0.0200000,17.2299995
66,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTE,115.5100021,129.0500031
67,Smart Zone, ,cGhpbGFkZWxwaGlhOjQ2MTE,85.3799973,115.0400009
68,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTI,4.2800002,16.6700001
69,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTI,115.5000000,129.1699982
70,Smart Zone, ,cGhpbGFkZWxwaGlhOjQ2MTI,90.2799988,115.5000000
71,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTM,4.8600001,15.9399996
72,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTM,114.4400024,126.8899994
73,Smart Zone, ,cGhpbGFkZWxwaGlhOjQ2MTM,87.3600006,114.4400024
74,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTQ,2.2600000,30.7999992
75,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MTQ,35.7500000,46.7200012
76,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MTQ,104.4899979,114.9300003
77,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTQ,116.6600037,124.9599991
78,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTU,0.0000000,12.4399996
79,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2MTU,117.9499969,126.3300018
80,Smart Zone, ,cGhpbGFkZWxwaGlhOjQ2MTU,64.6100006,89.2600021
81,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MTg,62.8699989,67.5400009
82,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MTk,44.2799988,49.0499992
83,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MTk,93.8499985,99.3399963
84,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjQ2MjA,35.3899994,36.8899994
85,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MjA,36.8899994,42.6100006
86,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjQ2MjA,42.6100006,43.0900002
87,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2MjA,61.5200005,69.5999985
88,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTc,28.2500000,39.8199997
89,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTc,44.3899994,51.9399986
90,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTc,124.9800034,130.5500031
91,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTc,139.2400055,148.9199982
92,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTg,34.5400009,47.5299988
93,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTg,129.3200073,146.9100037
94,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NTk,104.7300034,114.7500000
95,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ2NjE,43.3699989,110.6100006
96,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NjI,59.1800003,67.4300003
97,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NjM,26.3999996,38.9000015
98,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NjQ,59.5999985,77.3099976
99,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ2NjQ,184.4900055,209.3300018
100,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NjY,3.2100000,181.0000000
101,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NjY,181.0000000,200.0700073
102,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NjY,200.0700073,317.3099976
103,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NjY,317.3099976,334.1199951
104,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NjY,334.1199951,373.0199890
105,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2Njc,0.0400000,15.7100000
106,Bulbout, ,cGhpbGFkZWxwaGlhOjQ2Njc,104.7799988,125.8300018
107,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ2Njg,3.2200000,9.0699997
108,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2Njg,9.0699997,145.0000000
109,Construction Zone, ,cGhpbGFkZWxwaGlhOjQ2Njg,145.0000000,148.1000061
110,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NzI,6.3000002,91.7300034
111,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NzQ,28.4899998,35.9199982
112,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NzU,1.3000000,19.6399994
113,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NzU,19.6399994,31.5400009
114,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NzU,31.5400009,111.6900024
115,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NzU,111.6900024,119.4899979
116,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2NzU,119.4899979,157.7500000
117,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2NzY,25.4599991,34.5800018
118,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjQ2ODA,56.7500000,74.1200027
119,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2ODM,79.3000031,82.0999985
120,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2ODQ,1.8099999,3.0200000
121,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2OTQ,37.7799988,42.9900017
122,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2OTQ,61.6500015,66.9499969
123,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2OTU,50.3899994,58.0200005
124,Curb Cut, ,cGhpbGFkZWxwaGlhOjQ2OTU,61.5299988,70.9100037
125,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1ODA,8.6400003,13.1400003
126,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1ODc,0.7900000,8.6000004
127,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1ODg,8.8299999,14.4899998
128,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1ODg,33.4300003,38.5000000
129,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1ODg,52.1800003,56.3100014
130,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1ODk,10.3500004,16.2800007
131,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1OTA,102.9100037,121.5699997
132,Curb Cut, ,cGhpbGFkZWxwaGlhOjU1OTE,81.9499969,88.8600006
133,Curb Cut, ,cGhpbGFkZWxwaGlhOjU2MTc,8.7500000,12.9399996
134,Curb Cut, ,cGhpbGFkZWxwaGlhOjU2MTg,7.1700001,27.7299995
135,Curb Cut, ,cGhpbGFkZWxwaGlhOjU2Mjg,53.6199989,75.2399979
136,Curb Cut, ,cGhpbGFkZWxwaGlhOjU2Mjk,71.5999985,75.3300018
